,LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,ROUND,DATE
0,32,58:18.977,0.000,0.000,177.931,1:46.038,24.0,1.0,6,A. Markelov,RUSSIAN TIME,Sakhir,Feature Race,Round 1 ,2017-04-16
1,32,58:26.868,7.891,7.891,177.53,1:46.187,18.0,2.0,20,N. Nato,Pertamina Arden,Sakhir,Feature Race,Round 1 ,2017-04-16
2,32,58:32.757,13.780,5.889,177.233,1:46.550,24.0,3.0,1,C. Leclerc,PREMA Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
3,32,58:36.455,17.478,3.698,177.046,1:46.729,19.0,4.0,15,J. King,MP Motorsport,Sakhir,Feature Race,Round 1 ,2017-04-16
4,32,58:37.121,18.144,0.666,177.013,1:46.761,21.0,5.0,9,O. Rowland,DAMS,Sakhir,Feature Race,Round 1 ,2017-04-16
5,32,58:38.721,19.744,1.600,176.932,1:46.171,19.0,6.0,8,A. Albon,ART Grand Prix,Sakhir,Feature Race,Round 1 ,2017-04-16
6,32,58:46.033,27.056,7.312,176.565,1:46.787,20.0,7.0,5,L. Ghiotto,RUSSIAN TIME,Sakhir,Feature Race,Round 1 ,2017-04-16
7,32,58:48.948,29.971,2.915,176.419,1:46.668,23.0,8.0,7,N. Matsushita,ART Grand Prix,Sakhir,Feature Race,Round 1 ,2017-04-16
8,32,58:49.927,30.950,0.979,176.37,1:46.969,28.0,9.0,2,A. Fuoco,PREMA Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
9,32,58:54.703,35.726,4.776,176.132,1:46.901,22.0,10.0,18,N. de Vries,Rapax,Sakhir,Feature Race,Round 1 ,2017-04-16
10,32,59:06.555,47.578,11.852,175.544,1:47.731,24.0,11.0,10,N. Latifi,DAMS,Sakhir,Feature Race,Round 1 ,2017-04-16
11,32,59:11.506,52.529,2.383,175.299,1:46.520,19.0,12.0,11,R. Boschung,Campos Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
12,32,59:14.123,50.146,2.568,175.417,1:47.610,27.0,13.0,14,S. Sette Câmara,MP Motorsport,Sakhir,Feature Race,Round 1 ,2017-04-16
13,32,59:15.288,56.311,3.782,175.112,1:48.907,7.0,14.0,17,S. Canamasas,Trident,Sakhir,Feature Race,Round 1 ,2017-04-16
14,32,59:25.700,66.723,10.412,174.601,1:46.798,20.0,15.0,19,J. Cecotto,Rapax,Sakhir,Feature Race,Round 1 ,2017-04-16
15,32,59:31.910,72.933,6.210,174.298,1:45.843,26.0,16.0,12,S. Coletti,Campos Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
16,32,59:37.556,78.579,5.646,174.022,1:46.989,17.0,17.0,21,S. Gelael,Pertamina Arden,Sakhir,Feature Race,Round 1 ,2017-04-16
17,32,59:43.460,84.483,5.904,173.736,1:48.343,13.0,18.0,4,G. Malja,Racing Engineering,Sakhir,Feature Race,Round 1 ,2017-04-16
18,32,59:57.959,98.982,14.499,173.036,1:48.976,25.0,19.0,16,N. Jeffri,Trident,Sakhir,Feature Race,Round 1 ,2017-04-16
19,32,59:58.083,99.106,0.124,173.03,1:46.796,25.0,20.0,3,L. Delétraz,Racing Engineering,Sakhir,Feature Race,Round 1 ,2017-04-16
20,23,43:01.023,0.000,0.000,173.275,1:44.074,16.0,1.0,1,C. Leclerc,PREMA Racing,Sakhir,Sprint Race,Round 1 ,2017-04-16
21,23,43:02.592,1.569,1.569,173.17,1:47.043,7.0,2.0,5,L. Ghiotto,RUSSIAN TIME,Sakhir,Sprint Race,Round 1 ,2017-04-16
22,23,43:03.921,2.898,1.329,173.081,1:47.175,8.0,3.0,9,O. Rowland,DAMS,Sakhir,Sprint Race,Round 1 ,2017-04-16
23,23,43:08.598,7.575,4.677,172.768,1:47.760,14.0,4.0,10,N. Latifi,DAMS,Sakhir,Sprint Race,Round 1 ,2017-04-16
24,23,43:10.985,9.962,2.387,172.609,1:46.998,7.0,5.0,15,J. King,MP Motorsport,Sakhir,Sprint Race,Round 1 ,2017-04-16
25,23,43:11.888,10.865,0.903,172.549,1:47.632,10.0,6.0,18,N. de Vries,Rapax,Sakhir,Sprint Race,Round 1 ,2017-04-16
26,23,43:12.405,11.382,0.517,172.514,1:47.821,8.0,7.0,8,A. Albon,ART Grand Prix,Sakhir,Sprint Race,Round 1 ,2017-04-16
27,23,43:19.976,18.953,7.571,172.012,1:45.891,11.0,8.0,6,A. Markelov,RUSSIAN TIME,Sakhir,Sprint Race,Round 1 ,2017-04-16
28,23,43:20.173,19.150,0.197,171.999,1:47.868,13.0,9.0,19,J. Cecotto,Rapax,Sakhir,Sprint Race,Round 1 ,2017-04-16
29,23,43:21.006,19.983,0.833,171.944,1:46.884,7.0,10.0,2,A. Fuoco,PREMA Racing,Sakhir,Sprint Race,Round 1 ,2017-04-16
30,23,43:29.852,28.829,8.846,171.361,1:48.247,10.0,11.0,17,S. Canamasas,Trident,Sakhir,Sprint Race,Round 1 ,2017-04-16
